x Re(psi) Im(psi)
7.490196078431370807e+00 2.231696383919872795e-01 -1.090616544423469701e-27
7.568627450980393689e+00 2.231696383919872517e-01 -1.250410181537300726e-27
7.647058823529413019e+00 2.231696383919872240e-01 -1.405865083672416185e-27
7.725490196078432348e+00 2.231696383919871962e-01 -1.560333909676005560e-27
7.803921568627451677e+00 2.231696383919871129e-01 -1.716801080589891130e-27
7.882352941176471006e+00 2.231696383919870297e-01 -1.876667132669631652e-27
7.960784313725490335e+00 2.231696383919869464e-01 -2.032023427191595023e-27
8.039215686274509665e+00 2.231696383919868354e-01 -2.185752696096540058e-27
8.117647058823528994e+00 2.231696383919866966e-01 -2.336720951833211551e-27
8.196078431372548323e+00 2.231696383919865578e-01 -2.484829586788457235e-27
8.274509803921567652e+00 2.231696383919863913e-01 -2.635600627298824192e-27
8.352941176470586981e+00 2.231696383919861970e-01 -2.779074704435896791e-27
8.431372549019606311e+00 2.231696383919860027e-01 -2.921957135894053630e-27
8.509803921568625640e+00 2.231696383919857807e-01 -3.061191085665563290e-27
8.588235294117648522e+00 2.231696383919855309e-01 -3.204763770415788873e-27
8.666666666666667851e+00 2.231696383919852811e-01 -3.340842276566414845e-27
8.745098039215687180e+00 2.231696383919850035e-01 -3.476526352264430310e-27
8.823529411764706509e+00 2.231696383919846982e-01 -3.611618782283530734e-27
8.901960784313725839e+00 2.231696383919843929e-01 -3.744344629586968123e-27
8.980392156862745168e+00 2.231696383919840598e-01 -3.871548450553858429e-27
9.058823529411764497e+00 2.231696383919836990e-01 -3.993230245184202370e-27
9.137254901960783826e+00 2.231696383919833382e-01 -4.122800648866755711e-27
9.215686274509803155e+00 2.231696383919829496e-01 -4.244285228270793682e-27
9.294117647058822484e+00 2.231696383919825610e-01 -4.358472844301537293e-27
9.372549019607841814e+00 2.231696383919821447e-01 -4.473449321237501198e-27
9.450980392156861143e+00 2.231696383919817006e-01 -4.582312126158002262e-27
9.529411764705880472e+00 2.231696383919812565e-01 -4.687427841778703520e-27
9.607843137254903354e+00 2.231696383919807847e-01 -4.783866087441973649e-27
9.686274509803922683e+00 2.231696383919802851e-01 -4.881487624463075294e-27
9.764705882352942012e+00 2.231696383919797855e-01 -4.973685742760781767e-27
9.843137254901961342e+00 2.231696383919792581e-01 -5.071603102621340574e-27
9.921568627450980671e+00 2.231696383919787030e-01 -5.162913752400672691e-27
1.000000000000000000e+01 2.231696383919781479e-01 -5.245645539835726304e-27
