x Re(psi) Im(psi)
7.019607843137254832e+00 -1.128962914691914732e-01 2.823597782992874339e-01
7.098039215686274161e+00 -1.138043246248391094e-01 2.804278913796864336e-01
7.176470588235293491e+00 -1.146438063107504957e-01 2.783270851841925797e-01
7.254901960784312820e+00 -1.154142308545483137e-01 2.760586251599039254e-01
7.333333333333332149e+00 -1.161151341812954041e-01 2.736238777423158353e-01
7.411764705882351478e+00 -1.167460940930361846e-01 2.710243095322315554e-01
7.490196078431370807e+00 -1.173067305231129953e-01 2.682614864123368248e-01
7.568627450980393689e+00 -1.177967057651039262e-01 2.653370726039703253e-01
7.647058823529413019e+00 -1.182157246762444436e-01 2.622528296646594592e-01
7.725490196078432348e+00 -1.185635348552106089e-01 2.590106154270234162e-01
7.803921568627451677e+00 -1.188399267941560450e-01 2.556123828796848518e-01
7.882352941176471006e+00 -1.190447340049117508e-01 2.520601789908623047e-01
7.960784313725490335e+00 -1.191778331192721724e-01 2.483561434753527586e-01
8.039215686274509665e+00 -1.192391439633077588e-01 2.445025075056479757e-01
8.117647058823528994e+00 -1.192286296056586092e-01 2.405015923679592604e-01
8.196078431372548323e+00 -1.191462963797806363e-01 2.363558080639619474e-01
8.274509803921567652e+00 -1.189921938801304369e-01 2.320676518590997217e-01
8.352941176470586981e+00 -1.187664149322916057e-01 2.276397067783260120e-01
8.431372549019606311e+00 -1.184690955370597820e-01 2.230746400501857907e-01
8.509803921568625640e+00 -1.181004147885212768e-01 2.183752015001773905e-01
8.588235294117648522e+00 -1.176605947661730628e-01 2.135442218943600090e-01
8.666666666666667851e+00 -1.171499004011507666e-01 2.085846112342061853e-01
8.745098039215687180e+00 -1.165686393166437823e-01 2.034993570037258726e-01
8.823529411764706509e+00 -1.159171616425945656e-01 1.982915223699176221e-01
8.901960784313725839e+00 -1.151958598047937016e-01 1.929642443376312355e-01
8.980392156862745168e+00 -1.144051682884970750e-01 1.875207318599537432e-01
9.058823529411764497e+00 -1.135455633767082501e-01 1.819642639052556077e-01
9.137254901960783826e+00 -1.126175628632833797e-01 1.762981874820630512e-01
9.215686274509803155e+00 -1.116217257410316438e-01 1.705259156229451678e-01
9.294117647058822484e+00 -1.105586518649986083e-01 1.646509253286306540e-01
9.372549019607841814e+00 -1.094289815911363983e-01 1.586767554735927788e-01
9.450980392156861143e+00 -1.082333953905768448e-01 1.526070046743637221e-01
9.529411764705880472e+00 -1.069726134397413764e-01 1.464453291218622277e-01
9.607843137254903354e+00 -1.056473951865334049e-01 1.401954403790413028e-01
9.686274509803922683e+00 -1.042585388928757156e-01 1.338611031451812650e-01
9.764705882352942012e+00 -1.028068811538667970e-01 1.274461329881755589e-01
9.843137254901961342e+00 -1.012932963938476538e-01 1.209543940461757089e-01
9.921568627450980671e+00 -9.971869633968122315e-02 1.143897966999785493e-01
1.000000000000000000e+01 -9.808402947156200091e-02 1.077562952175593336e-01
